|FR| (FANSEAT) - EVENT 11 FHD - (ONLY ON LIVE)	00`05alive00`05b560854.m3u8
|FR| (FANSEAT) - EVENT 12 FHD - (ONLY ON LIVE)	00`05alive00`05b560855.m3u8
|FR| (FANSEAT) - EVENT 13 FHD - (ONLY ON LIVE)	00`05alive00`05b560856.m3u8
|FR| (FANSEAT) - EVENT 14 FHD - (ONLY ON LIVE)	00`05alive00`05b560857.m3u8
|FR| (FANSEAT) - EVENT 15 FHD - (ONLY ON LIVE)	00`05alive00`05b560858.m3u8
|FR| (FANSEAT) - EVENT 16 FHD - (ONLY ON LIVE)	00`05alive00`05b560859.m3u8
|FR| (FANSEAT) - EVENT 17 FHD - (ONLY ON LIVE)	00`05alive00`05b560860.m3u8
|FR| (FANSEAT) - EVENT 18 FHD - (ONLY ON LIVE)	00`05alive00`05b560861.m3u8
-----| JEUNESSE FRANCE FHD |-----	00`05alive00`05b127099.m3u8
|FR| TOONAMI FHD	00`05alive00`05b127100.m3u8
|FR| DISNEY CHANNEL FHD	00`05alive00`05b127101.m3u8
|FR| DISNEY CHANNEL +1 HD	00`05alive00`05b127102.m3u8
|FR| DISNEY + FHD	00`05alive00`05b127103.m3u8
|FR| DISNEY JUNIOR FHD	00`05alive00`05b127104.m3u8
|FR| NICKELODEON JR FHD	00`05alive00`05b127105.m3u8
|FR| NICKELODEON FHD	00`05alive00`05b127106.m3u8
|FR| NICKELODEON TEEN FHD	00`05alive00`05b127107.m3u8
|FR| BOOMERANG FHD	00`05alive00`05b127108.m3u8
|FR| BOING FHD	00`05alive00`05b127109.m3u8
|FR| BABY TV FHD	00`05alive00`05b127110.m3u8
|FR| PIWI+ FHD	00`05alive00`05b127111.m3u8
|FR| TELETOON+ FHD	00`05alive00`05b127112.m3u8
|FR| CARTOON NETWORK FHD	00`05alive00`05b127113.m3u8
|FR| GULLI FHD	00`05alive00`05b127114.m3u8
|FR| CANAL J FHD	00`05alive00`05b127115.m3u8
|FR| TIJI FHD	00`05alive00`05b127116.m3u8
|FR| MANGAS FHD	00`05alive00`05b127117.m3u8
|FR| J ONE FHD	00`05alive00`05b127118.m3u8
|FR| GAME ONE FHD	00`05alive00`05b127119.m3u8
-----| DÉCOUVERTE FRANCE FHD |-----	00`05alive00`05b127034.m3u8
|FR| PLANETE+ FHD	00`05alive00`05b127035.m3u8
|FR| PLANETE+ A&E FHD	00`05alive00`05b127036.m3u8
|FR| PLANETE+ CI FHD	00`05alive00`05b127037.m3u8
|FR| NAT GEO FHD	00`05alive00`05b127038.m3u8
|FR| NAT GEO WILD FHD	00`05alive00`05b127039.m3u8
|FR| DISCOVERY FHD	00`05alive00`05b127040.m3u8
|FR| DISCOVERY SCIENCE FHD	00`05alive00`05b127041.m3u8
|FR| DISCOVERY INVESTIGATION FHD	00`05alive00`05b127042.m3u8
|FR| TREK FHD	00`05alive00`05b127044.m3u8
|FR| HISTOIRE TV FHD	00`05alive00`05b127045.m3u8
|FR| TOUTE L HISTOIRE FHD	00`05alive00`05b127046.m3u8
|FR| SEASONS FHD	00`05alive00`05b127047.m3u8
|FR| SCIENCE & VIE TV FHD	00`05alive00`05b127048.m3u8
|FR| RMC DECOUVERTE FHD	00`05alive00`05b127049.m3u8
|FR| USHUAIA TV FHD	00`05alive00`05b127050.m3u8
|FR| ANIMAUX FHD	00`05alive00`05b127051.m3u8
|FR| CHASSE ET PECHE FHD	00`05alive00`05b127052.m3u8
|FR| NAUTICAL FHD	00`05alive00`05b127054.m3u8
|FR-HD| MOTORVISION HD	00`05alive00`05b224411.m3u8
|FR-HD| TEBEO HD	00`05alive00`05b224417.m3u8
|FR-HD| TOP SANTE TV HD	00`05alive00`05b224418.m3u8
|FR-HD| TLC HD	00`05alive00`05b224419.m3u8
|FR-HD| MY ZEN TV HD	00`05alive00`05b224420.m3u8
|FR-HD| FRANCE 3 NOA HD	00`05alive00`05b224422.m3u8
|FR-HD| GOURMAND TV HD	00`05alive00`05b224427.m3u8
|FR-HD| GONG HD	00`05alive00`05b224428.m3u8
|FR-HD| GONG MAX HD	00`05alive00`05b224429.m3u8
|FR-HD| VIA MATELE HD	00`05alive00`05b224431.m3u8
|FR-HD| MAISON ET TRAVAUX HD	00`05alive00`05b224433.m3u8
|FR-HD| LUXE TV HD	00`05alive00`05b224434.m3u8
|FR-HD| LUCKY JACK HD	00`05alive00`05b224435.m3u8
|FR-HD| LA CHAINE NORMANDE HD	00`05alive00`05b224436.m3u8
|FR-HD| BFM COTE D AZUR HD	00`05alive00`05b224440.m3u8
|FR-HD| BFM MARSEILLE HD	00`05alive00`05b224441.m3u8
|FR-HD| BFM ALPES SUD HD	00`05alive00`05b224442.m3u8
|FR-HD| BFM HAUTE PROVINCE HD	00`05alive00`05b224443.m3u8
|FR-HD| IMEARTH HD	00`05alive00`05b224450.m3u8
|FR-HD| ZOUK TV HD	00`05alive00`05b224451.m3u8
|FR-HD| TMC PLUS 1 HD	00`05alive00`05b224452.m3u8
-----| DIVERTISSEMENT FRANCE FHD |-----	00`05alive00`05b127162.m3u8
|FR| COMEDIE+ FHD	00`05alive00`05b127164.m3u8
|FR| SYFY FHD	00`05alive00`05b127165.m3u8
|FR| E! FHD	00`05alive00`05b127166.m3u8
|FR| 13EME RUE FHD	00`05alive00`05b127167.m3u8
|FR| TEVA FHD	00`05alive00`05b127168.m3u8
|FR| RTL9 FHD	00`05alive00`05b127169.m3u8
|FR| AB1 FHD	00`05alive00`05b127170.m3u8
|FR| SERIE CLUB FHD	00`05alive00`05b127171.m3u8
|FR| PARIS PREMIERE FHD	00`05alive00`05b127172.m3u8
|FR| TV BREIZH FHD	00`05alive00`05b127173.m3u8
|FR| VICELAND FHD	00`05alive00`05b127174.m3u8
|FR| BET FHD	00`05alive00`05b127175.m3u8
|FR| COMEDY CENTRAL FHD	00`05alive00`05b127178.m3u8
|FR| KTO FHD	00`05alive00`05b147875.m3u8
-----| MUSIQUE FRANCE FHD |-----	00`05alive00`05b127337.m3u8
|FR| CSTAR HITS FHD	00`05alive00`05b127339.m3u8
|FR| TRACE URBAN FHD	00`05alive00`05b127340.m3u8
|FR| TRACE LATINA FHD	00`05alive00`05b127341.m3u8
|FR| MELODY FHD	00`05alive00`05b127342.m3u8
